,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
154,71.8,33.7,87.4,32.3,Bauman Moscow State Technical University,,151-200,https://www.topuniversities.com/universities/bauman-moscow-state-technical-university
155,60.3,71.3,62.9,85,Beihang University (former BUAA),,151-200,https://www.topuniversities.com/universities/beihang-university-former-buaa
156,51.6,70.8,72.2,66.7,Beijing University of Technology,,151-200,https://www.topuniversities.com/universities/beijing-university-technology
157,54.5,77.1,67.7,63.5,Boston University,,151-200,https://www.topuniversities.com/universities/boston-university
158,58.9,69.4,70.8,58.6,Chulalongkorn University,,151-200,https://www.topuniversities.com/universities/chulalongkorn-university
159,61.1,70.3,66.2,64.6,Czech Technical University in Prague,,151-200,https://www.topuniversities.com/universities/czech-technical-university-prague
160,50.3,80.4,68.7,84.4,Huazhong University of Science and Technology,,151-200,https://www.topuniversities.com/universities/huazhong-university-science-technology
161,62.7,67.8,66.4,57.2,Indian Institute of Technology Guwahati (IITG),,151-200,https://www.topuniversities.com/universities/indian-institute-technology-guwahati-iitg
162,60.7,80.6,63.3,64.6,Indian Institute of Technology Roorkee (IITR),,151-200,https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr
163,60.7,70.2,67.3,58.6,Instituto Politécnico Nacional (IPN),,151-200,https://www.topuniversities.com/universities/instituto-polit%C3%A9cnico-nacional-ipn
164,58.4,72.5,69.2,65.7,Istanbul Technical University,,151-200,https://www.topuniversities.com/universities/istanbul-technical-university
165,56,72.3,64.7,69.6,King's College London,,151-200,https://www.topuniversities.com/universities/kings-college-london
166,60.2,76.2,70.4,63.5,Middle East Technical University,,151-200,https://www.topuniversities.com/universities/middle-east-technical-university
167,62,69.5,67.3,58.6,National Central University,,151-200,https://www.topuniversities.com/universities/national-central-university
168,64.2,63.3,71.5,52.7,National Sun Yat-sen University,,151-200,https://www.topuniversities.com/universities/national-sun-yat-sen-university
169,55.9,72.8,66.5,65.7,National Taipei University of Technology,,151-200,https://www.topuniversities.com/universities/national-taipei-university-technology
170,61.8,72.9,67.7,61.1,Queen Mary University of London,,151-200,https://www.topuniversities.com/universities/queen-mary-university-london
171,54.2,69.7,75.6,61.1,Queen's University at Kingston,,151-200,https://www.topuniversities.com/universities/queens-university-kingston
172,55.3,77.8,67.6,67.7,Queensland University of Technology (QUT),,151-200,https://www.topuniversities.com/universities/queensland-university-technology-qut
173,60.7,78.6,63.8,70.5,Swansea University,,151-200,https://www.topuniversities.com/universities/swansea-university
