,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
174,58.1,68.6,72.5,56.4,The University of Western Australia,,151-200,https://www.topuniversities.com/universities/university-western-australia
175,55.6,81.4,58.8,69.7,University Complutense Madrid,,151-200,https://www.topuniversities.com/universities/university-complutense-madrid
176,61.5,64.3,66.8,52.9,Universidad Nacional de Colombia,,151-200,https://www.topuniversities.com/universities/universidad-nacional-de-colombia
177,56,74.8,62.3,64.2,Universidade Nova de Lisboa,,151-200,https://www.topuniversities.com/universities/universidade-nova-de-lisboa
178,55.3,75.1,60.7,62.4,University of Naples - Federico II,,151-200,https://www.topuniversities.com/universities/university-naples-federico-ii
179,62.9,76.2,55.2,65.9,Universitat Autònoma de Barcelona,,151-200,https://www.topuniversities.com/universities/universitat-aut%C3%B2noma-de-barcelona
180,54.9,81.9,63.9,73.2,Université Pierre et Marie Curie (UPMC),,151-200,https://www.topuniversities.com/universities/universit%C3%A9-pierre-et-marie-curie-upmc
181,63.6,55.2,74.2,46,Universiti Teknologi MARA - UiTM,,151-200,https://www.topuniversities.com/universities/universiti-teknologi-mara-uitm
182,46.6,79.2,71.7,61.5,University College Dublin,,151-200,https://www.topuniversities.com/universities/university-college-dublin
183,60.4,79.9,58.6,69.7,University of Bath,,151-200,https://www.topuniversities.com/universities/university-bath
184,56.2,84.5,53.6,69,"University of California, Irvine",,151-200,https://www.topuniversities.com/universities/university-california-irvine
185,51.8,90.3,51.8,79.2,"University of California, Riverside",,151-200,https://www.topuniversities.com/universities/university-california-riverside
186,59.9,83.4,52.3,72.5,University of Groningen,,151-200,https://www.topuniversities.com/universities/university-groningen
187,59.6,73.7,59.7,61.5,"University of Illinois, Chicago (UIC)",,151-200,https://www.topuniversities.com/universities/university-illinois-chicago-uic
188,55.2,77.8,62,69.7,University of Lisbon ,,151-200,https://www.topuniversities.com/universities/university-lisbon
189,44.8,86.8,66.5,73.8,"University of Maryland, College Park",,151-200,https://www.topuniversities.com/universities/university-maryland-college-park
190,57.3,81.4,55.7,73.2,University of Notre Dame,,151-200,https://www.topuniversities.com/universities/university-notre-dame
191,55.1,71.9,63.5,62.4,University of Oklahoma,,151-200,https://www.topuniversities.com/universities/university-oklahoma
192,53.5,86.8,60.6,80.2,University of Ottawa,,151-200,https://www.topuniversities.com/universities/university-ottawa
193,53.4,89.9,52.7,78.1,University of Pittsburgh,,151-200,https://www.topuniversities.com/universities/university-pittsburgh
194,47.2,89,66,78.1,University of Southern California,,151-200,https://www.topuniversities.com/universities/university-southern-california
195,54.4,75.7,60.3,67.5,University of Virginia,,151-200,https://www.topuniversities.com/universities/university-virginia
196,56.2,81.6,61.1,63.3,Vanderbilt University,,151-200,https://www.topuniversities.com/universities/vanderbilt-university
197,52.4,80.2,63.7,70.5,Virginia Polytechnic Institute and State University,,151-200,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university
198,49.4,79.6,66.2,68.3,The University of Western Ontario,,151-200,https://www.topuniversities.com/universities/university-western-ontario
199,49,75.8,62.3,73.8,Xi’an Jiaotong University,,151-200,https://www.topuniversities.com/universities/xi%E2%80%99-jiaotong-university
200,46.2,73.9,58.5,64.2,Anna University,,201-250,https://www.topuniversities.com/universities/anna-university
201,47.8,75.6,58.4,65.9,Aristotle University of Thessaloniki,,201-250,https://www.topuniversities.com/universities/aristotle-university-thessaloniki
202,45.9,73.8,65.8,63.3,Beihang University (former BUAA),,201-250,https://www.topuniversities.com/universities/beihang-university-former-buaa
203,48.5,86.6,49.5,69.7,Case Western Reserve University,,201-250,https://www.topuniversities.com/universities/case-western-reserve-university
204,45.2,78,62.1,71.9,Chonbuk National University,,201-250,https://www.topuniversities.com/universities/chonbuk-national-university
205,46.9,67.3,70.1,55.3,Chung-Ang University (CAU),,201-250,https://www.topuniversities.com/universities/chung-ang-university-cau
206,59.7,70.5,44,60.5,City University of New York,,201-250,https://www.topuniversities.com/universities/city-university-new-york
207,45.7,81.6,55.7,72.5,Colorado State University,,201-250,https://www.topuniversities.com/universities/colorado-state-university
208,54.3,60.4,72.4,48.9,Ecole Polytechnique,,201-250,https://www.topuniversities.com/universities/ecole-polytechnique
209,46.3,88,47.1,72.5,The Hebrew University of Jerusalem,,201-250,https://www.topuniversities.com/universities/hebrew-university-jerusalem
210,41.2,81.2,61.6,76.3,Huazhong University of Science and Technology,,201-250,https://www.topuniversities.com/universities/huazhong-university-science-technology
211,55.1,73.3,56.9,61.5,Indian Institute of Technology Guwahati (IITG),,201-250,https://www.topuniversities.com/universities/indian-institute-technology-guwahati-iitg
212,52.7,76.3,59.8,64.2,Indian Institute of Technology Roorkee (IITR),,201-250,https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr
213,40.8,80.6,67.2,74.5,Inha University,,201-250,https://www.topuniversities.com/universities/inha-university
214,44.4,84.3,50.9,78.6,Iowa State University,,201-250,https://www.topuniversities.com/universities/iowa-state-university
215,53.5,68.7,65.2,54.1,Istanbul Technical University,,201-250,https://www.topuniversities.com/universities/istanbul-technical-university
216,51.7,72.7,58.3,56.4,Kobe University,,201-250,https://www.topuniversities.com/universities/kobe-university
217,53,73.8,54.8,73.2,Lehigh University,,201-250,https://www.topuniversities.com/universities/lehigh-university
218,56.9,65.6,62.1,55.3,Loughborough University,,201-250,https://www.topuniversities.com/universities/loughborough-university
219,53.6,58.9,71.8,46,Massey University,,201-250,https://www.topuniversities.com/universities/massey-university
220,52.1,70.2,64.7,61.5,Middle East Technical University,,201-250,https://www.topuniversities.com/universities/middle-east-technical-university
221,52.7,61.6,64.4,57.5,National Central University,,201-250,https://www.topuniversities.com/universities/national-central-university
222,51.7,74,61.5,64.2,Newcastle University,,201-250,https://www.topuniversities.com/universities/newcastle-university
223,67,42.5,70.3,35.2,Pontificia Universidad Católica de Chile (UC),,201-250,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc
224,39.5,81,61,83.2,Shandong University,,201-250,https://www.topuniversities.com/universities/shandong-university
225,46.5,82.2,57.2,71.9,Shanghai University,,201-250,https://www.topuniversities.com/universities/shanghai-university
226,49.3,77.7,49.2,80.2,Sichuan University,,201-250,https://www.topuniversities.com/universities/sichuan-university
