,Name,Link,Rank in 2017,Rank in 2016,Rank in 2015,3 year average rank,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Female board (%),International faculty (%),International students (%),International board (%)
86,Babson College: Olin,http://rankings.ft.com/businessschoolrankings/babson-college-olin/global-mba-ranking-2017#global-mba-ranking-2017,87,90,73,83,US,2013,"121,130","121,312",89,69,8,82,74,80 (88),30,33,33,22,16,82,12
87,University of Minnesota: Carlson,http://rankings.ft.com/businessschoolrankings/university-of-minnesota-carlson/global-mba-ranking-2017#global-mba-ranking-2017,88,71,83,81,US,2014,"117,567","117,567",88,66,97,84,36,94 (98),63,30,32,33,25,16,9
88,Incae Business School,http://rankings.ft.com/businessschoolrankings/incae/global-mba-ranking-2017#global-mba-ranking-2017,89,83,-,-,Costa Rica,2017,"89,071","90,584",142,5,7,77,77,60 (85),81,9,32,16,48,76,63
89,Pennsylvania State University: Smeal,http://rankings.ft.com/businessschoolrankings/pennsylvania-state-university-smeal/global-mba-ranking-2017#global-mba-ranking-2017,89,89,86,88,US,2017,"109,799","109,799",98,44,100,84,47,89 (100),58,23,30,19,22,37,0
90,University of Edinburgh Business School,http://rankings.ft.com/businessschoolrankings/edinburgh-university-management-school/global-mba-ranking-2017#global-mba-ranking-2017,91,98,-,-,UK,2015,"102,804","102,804",67,34,14,77,97,81 (91),93,41,49,39,60,77,39
91,Grenoble Ecole de Management,http://rankings.ft.com/businessschoolrankings/grenoble-graduate-school-of-business/global-mba-ranking-2017#global-mba-ranking-2017,92,94,-,-,France,2017,"101,596","101,596",76,56,61,77,98,87 (69),95,43,38,53,46,96,53
92,University of Texas at Dallas: Jindal,http://rankings.ft.com/businessschoolrankings/university-of-texas-at-dallas/global-mba-ranking-2017#global-mba-ranking-2017,93,-,-,-,US,-,"96,900","96,900",109,13,90,78,65,92 (100),91,28,22,12,57,40,2
93,Western University: Ivey,http://rankings.ft.com/businessschoolrankings/university-of-western-ontario-ivey/global-mba-ranking-2017#global-mba-ranking-2017,94,88,97,93,Canada,2013,"98,402","99,142",74,42,74,84,35,82 (100),37,23,26,50,63,42,75
94,Indian Institute of Management Calcutta,http://rankings.ft.com/businessschoolrankings/indian-institute-of-management-calcutta/global-mba-ranking-2017#global-mba-ranking-2017,95,-,-,-,India,-,"131,519","131,519",93,45,9,76,90,100 (98),33,23,15,7,1,0,0
95,Temple University: Fox,http://rankings.ft.com/businessschoolrankings/temple-university-fox/global-mba-ranking-2017#global-mba-ranking-2017,95,-,-,-,US,2017,"98,464","98,464",103,93,96,82,93,100 (100),95,36,55,22,34,32,46
96,Ipade Business School,http://rankings.ft.com/businessschoolrankings/ipade/global-mba-ranking-2017#global-mba-ranking-2017,97,80,-,-,Mexico,2017,"100,924","102,093",180,57,6,78,56,89 (100),69,6,23,20,24,8,0
97,Birmingham Business School,http://rankings.ft.com/businessschoolrankings/birmingham-business-school?mhq5j=e2,97,92,95,95,UK,2017,"99,765","99,765",80,21,53,76,95,93 (85),79,36,37,55,45,94,50
98,Vlerick Business School,http://rankings.ft.com/businessschoolrankings/vlerick-leuven-gent/global-mba-ranking-2017#global-mba-ranking-2017,99,-,94,-,Belgium,2016,"97,960","97,960",72,12,69,80,94,62 (100),79,31,45,17,24,77,92
99,Queen's University: Smith,http://rankings.ft.com/businessschoolrankings/queens-school-of-business/global-mba-ranking-2017#global-mba-ranking-2017,100,93,86,93,Canada,2015,"93,728","93,102",85,41,92,81,88,78 (100),44,31,36,24,50,60,44
