,Economics and Business global research reputation,Economics and Business international collaboration,Economics and Business normalized citation impact,Economics and Business number of publications that are among the 10 percent most cited,Economics and Business overall score,Economics and Business percentage of total publications that are among the 10 percent most cited,Economics and Business publications,Economics and Business regional research reputation,Economics and Business total citations,Name,Rank,Subject Score,URL,website
62,#229,#246,#69,#131,21.2,#47,#238,#222,#168,Brigham Young University--Provo,"#195
          Tie",21.2,https://www.usnews.com/education/best-global-universities/brigham-young-university-provo-230038,http://www.byu.edu
63,#163,#215,#147,#210,21.1,#191,#206,#164,#190,University of Missouri,"#197
          Tie",21.1,https://www.usnews.com/education/best-global-universities/university-of-missouri-178396,http://www.missouri.edu
64,#238,#17,#77,#123,20.8,#47,#222,#244,#159,Drexel University,"#199
          Tie",20.8,https://www.usnews.com/education/best-global-universities/drexel-university-212054,http://www.drexel.edu
65,#55,#19,#63,#55,52.7,#51,#67,#112,#67,Boston University,"#52
          Tie",52.7,https://www.usnews.com/education/best-global-universities/boston-university-164988,http://www.bu.edu
66,#34,#172,#69,#50,52.7,#65,#55,#59,#55,University of Wisconsin--Madison,"#52
          Tie",52.7,https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444,http://www.wisc.edu
67,#41,#21,#51,#77,50.1,#32,#125,#81,#92,Georgia Institute of Technology,#64,50.1,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755,http://www.gatech.edu/
68,#90,#92,#41,#60,49.2,#40,#92,#102,#74,University of Virginia,#66,49.2,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076,http://www.virginia.edu
69,#92,#128,#22,#60,48.5,#28,#111,#133,#69,Boston College,"#67
          Tie",48.5,https://www.usnews.com/education/best-global-universities/boston-college-164924,http://www.bc.edu
70,#95,#80,#84,#55,48.5,#83,#56,#139,#59,"Rutgers, The State University of New Jersey--New Brunswick","#67
          Tie",48.5,https://www.usnews.com/education/best-global-universities/rutgers-the-state-university-of-new-jersey-new-brunswick-186380,http://www.rutgers.edu
71,#99,#23,#47,#63,48.3,#38,#96,#148,#78,University of Texas--Dallas,#69,48.3,https://www.usnews.com/education/best-global-universities/university-of-texas-dallas-228787,http://www.utdallas.edu
72,#28,#187,#40,#79,48.2,#41,#121,#55,#80,Carnegie Mellon University,#70,48.2,https://www.usnews.com/education/best-global-universities/carnegie-mellon-university-211440,http://www.cmu.edu
73,#56,#85,#104,#72,47.4,#95,#62,#123,#76,Purdue University--West Lafayette,"#73
          Tie",47.4,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-243780,http://www.purdue.edu
74,#117,#73,#95,#68,46.0,#111,#53,#172,#60,Georgia State University,#79,46,https://www.usnews.com/education/best-global-universities/georgia-state-university-139940,http://www.gsu.edu
