,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
0,90.1,United States,94.8,"1,679",Massachusetts Institute of Technology (MIT) ,"3,717",94,83%,17%,60%,40%,1,"2,982","11,067",https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1,87.6,United States,99.4,"2,042",Stanford University,"3,611",93.6,83%,17%,56%,44%,2,"4,285","15,878",https://www.topuniversities.com/universities/stanford-university
2,100,United States,93.2,425,Carnegie Mellon University,"6,385",91.9,71%,29%,51%,49%,3,"1,342","13,356",https://www.topuniversities.com/universities/carnegie-mellon-university
3,85.4,United States,98,"1,395","University of California, Berkeley (UCB)","6,086",89.9,39%,61%,27%,73%,4,"3,321","36,703",https://www.topuniversities.com/universities/university-california-berkeley-ucb
4,82.8,United Kingdom,90.7,"2,278",University of Cambridge,"6,699",88.9,64%,36%,37%,63%,5,"5,490","18,770",https://www.topuniversities.com/universities/university-cambridge
5,79.4,United States,95.2,"1,311",Harvard University,"5,266",88.4,85%,15%,69%,31%,6,"4,350","22,429",https://www.topuniversities.com/universities/harvard-university
6,80.6,United Kingdom,91.3,"2,964",University of Oxford,"7,353",87.8,74%,26%,44%,56%,7,"6,750","19,720",https://www.topuniversities.com/universities/university-oxford
7,80.5,United States,100,246,Princeton University,"1,793",85.6,65%,35%,34%,66%,8,"1,007","8,069",https://www.topuniversities.com/universities/princeton-university
8,79.9,Switzerland,94,"1,886",ETH Zurich - Swiss Federal Institute of Technology,"7,563",85.4,72%,28%,53%,47%,9,"2,477","19,815",https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
9,76.7,Singapore,89.6,"3,086",National University of Singapore (NUS),"8,917",84.2,48%,52%,18%,82%,=10,"5,106","32,728",https://www.topuniversities.com/universities/national-university-singapore-nus
10,79.3,Canada,94.3,"3,905",University of Toronto,"21,910",84.2,21%,79%,22%,78%,=10,"9,581","72,207",https://www.topuniversities.com/universities/university-toronto
11,78,United Kingdom,90.7,"2,071",Imperial College London,"8,746",83.7,53%,47%,43%,57%,12,"3,930","16,090",https://www.topuniversities.com/universities/imperial-college-london
12,76.7,United States,92.5,662,"University of California, Los Angeles (UCLA)","6,887",83.1,44%,56%,29%,71%,13,"2,859","40,114",https://www.topuniversities.com/universities/university-california-los-angeles-ucla
13,73.4,Australia,93.7,"1,477",The University of Melbourne,"18,030",82.3,54%,46%,47%,53%,14,"3,311","42,182",https://www.topuniversities.com/universities/university-melbourne
14,67.8,China,85.2,932,Tsinghua University,"4,072",82.2,49%,51%,59%,41%,15,"5,506","36,300",https://www.topuniversities.com/universities/tsinghua-university
15,73.8,China,83.3,"1,038",Peking University,"7,090",81.8,48%,52%,61%,39%,=16,"5,185","42,136",https://www.topuniversities.com/universities/peking-university
16,81.9,United States,98.3,550,University of Washington,"8,373",81.8,37%,63%,32%,68%,=16,"2,484","56,973",https://www.topuniversities.com/universities/university-washington
17,77.6,Japan,78.1,254,The University of Tokyo,"2,639",81.7,89%,11%,49%,51%,18,"4,514","27,279",https://www.topuniversities.com/universities/university-tokyo
18,72.4,"Hong Kong S.A.R., China",93.1,835,The Hong Kong University of Science and Technology,"2,921",81.4,48%,52%,15%,85%,19,"1,150","10,375",https://www.topuniversities.com/universities/hong-kong-university-science-technology
19,72.1,Singapore,93,"2,993","Nanyang Technological University, Singapore (NTU)","7,251",81.3,46%,54%,18%,82%,20,"4,338","25,738",https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
20,76.5,United States,96.7,970,Cornell University,"5,411",81.1,61%,39%,35%,65%,=21,"2,718","21,904",https://www.topuniversities.com/universities/cornell-university
21,82.2,United Kingdom,90,"1,553",The University of Edinburgh,"10,551",81.1,48%,52%,28%,72%,=21,"4,075","28,040",https://www.topuniversities.com/universities/university-edinburgh
22,69.8,Canada,94.4,"1,635",University of British Columbia,"11,388",80.8,24%,76%,16%,84%,23,"4,648","50,350",https://www.topuniversities.com/universities/university-british-columbia
23,77.6,Switzerland,90.2,"1,300",Ecole Polytechnique Fédérale de Lausanne (EPFL),"5,896",80.7,56%,44%,48%,52%,=24,"1,695","10,343",https://www.topuniversities.com/universities/ecole-polytechnique-f%C3%A9d%C3%A9rale-de-lausanne-epfl
24,71.6,"Hong Kong S.A.R., China",90.9,"2,085",The University of Hong Kong,"8,230",80.7,54%,46%,35%,65%,=24,"3,012","20,214",https://www.topuniversities.com/universities/university-hong-kong
25,72.7,United States,98.8,108,University of Texas at Austin,"4,744",80.6,62%,38%,22%,78%,26,"2,833","47,995",https://www.topuniversities.com/universities/university-texas-austin
26,78.3,United States,90.9,350,California Institute of Technology (Caltech),647,80.5,87%,13%,56%,44%,27,953,"2,255",https://www.topuniversities.com/universities/california-institute-technology-caltech
27,74.9,United States,91.6,75,Georgia Institute of Technology,"4,761",80.4,68%,32%,34%,66%,28,"1,133","21,082",https://www.topuniversities.com/universities/georgia-institute-technology
28,74.3,United States,93.5,913,Columbia University,"8,105",80.3,85%,15%,69%,31%,29,"6,189","25,045",https://www.topuniversities.com/universities/columbia-university
29,75.7,United States,95.9,259,University of Illinois at Urbana-Champaign,"9,483",80.2,47%,53%,25%,75%,30,"2,554","42,427",https://www.topuniversities.com/universities/university-illinois-urbana-champaign
30,73.8,Canada,92.6,473,University of Waterloo,"8,962",79.9,25%,75%,14%,86%,31,"1,689","35,541",https://www.topuniversities.com/universities/university-waterloo
31,75.2,United States,95.5,604,New York University (NYU),"11,593",79.7,64%,36%,43%,57%,32,"7,717","43,860",https://www.topuniversities.com/universities/new-york-university-nyu
32,73.7,South Korea,85.6,147,KAIST - Korea Advanced Institute of Science & Technology,584,79.5,67%,33%,62%,38%,33,"1,250","9,826",https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology
33,72.1,United States,88.3,"1,708",Yale University,"2,469",79.3,76%,24%,56%,44%,34,"4,940","12,402",https://www.topuniversities.com/universities/yale-university
34,71.4,"Hong Kong S.A.R., China",92.5,"1,074",The Chinese University of Hong Kong (CUHK),"4,824",79.2,35%,65%,15%,85%,35,"2,208","18,037",https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk
35,72.3,Australia,92.2,927,The Australian National University,"5,551",79.1,61%,39%,43%,57%,36,"1,600","14,442",https://www.topuniversities.com/universities/australian-national-university
36,74.1,United Kingdom,91.9,"2,554",UCL (University College London),"14,854",78.9,55%,45%,48%,52%,37,"6,345","31,080",https://www.topuniversities.com/universities/ucl-university-college-london
37,69.6,South Korea,86.3,433,Seoul National University,"2,331",78.2,47%,53%,42%,58%,38,"3,930","28,064",https://www.topuniversities.com/universities/seoul-national-university
38,71.9,United States,92.7,"1,383",University of Pennsylvania,"4,250",77.9,72%,28%,52%,48%,39,"5,499","20,639",https://www.topuniversities.com/universities/university-pennsylvania
39,72.3,Germany,84.2,"1,174",Technical University of Munich,"6,181",77.2,61%,39%,47%,53%,40,"5,850","38,726",https://www.topuniversities.com/universities/technical-university-munich
40,67.2,Taiwan,91.5,220,National Taiwan University (NTU),"3,152",76.7,45%,55%,46%,54%,41,"2,807","32,195",https://www.topuniversities.com/universities/national-taiwan-university-ntu
41,67.4,Australia,86,"1,612",The University of New South Wales (UNSW Sydney),"14,292",76.5,51%,49%,28%,72%,42,"2,924","39,784",https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney
42,67.3,Australia,86.6,"1,829",The University of Sydney,"17,030",76.4,58%,42%,38%,62%,43,"3,360","46,678",https://www.topuniversities.com/universities/university-sydney
43,70,United States,97.7,870,"University of California, San Diego (UCSD)","6,644",76.3,31%,69%,19%,81%,44,"3,694","32,237",https://www.topuniversities.com/universities/university-california-san-diego-ucsd
44,60.6,China,83,887,Shanghai Jiao Tong University,"2,858",75.7,33%,67%,54%,46%,45,"3,544","38,931",https://www.topuniversities.com/universities/shanghai-jiao-tong-university
45,63.7,United States,91.4,"1,920",University of Michigan,"7,527",75.3,64%,36%,34%,66%,46,"6,809","43,147",https://www.topuniversities.com/universities/university-michigan
46,73,United States,91.9,473,"University of Maryland, College Park","4,683",75,73%,27%,25%,75%,47,"3,920","35,504",https://www.topuniversities.com/universities/university-maryland-college-park
47,69.7,Russia,76.2,373,Lomonosov Moscow State University,"5,098",74.7,16%,84%,35%,65%,48,"6,709","30,233",https://www.topuniversities.com/universities/lomonosov-moscow-state-university
48,64.6,Italy,83.2,231,Politecnico di Milano,"5,593",74.6,73%,27%,41%,59%,49,"1,500","36,277",https://www.topuniversities.com/universities/politecnico-di-milano
49,68,United States,92.3,551,University of Southern California,"9,170",74.5,73%,27%,53%,47%,50,"3,124","38,749",https://www.topuniversities.com/universities/university-southern-california
50,60.8,Denmark,87.7,602,Aarhus University,"3,762",,73%,27%,48%,52%,51-100,"2,316","26,226",https://www.topuniversities.com/universities/aarhus-university
51,61.6,United States,90,379,Boston University,"7,041",,41%,59%,36%,64%,51-100,"3,157","25,662",https://www.topuniversities.com/universities/boston-university
52,61.2,"Hong Kong S.A.R., China",94,"1,027",City University of Hong Kong,"3,273",,66%,34%,30%,70%,51-100,"1,349","9,240",https://www.topuniversities.com/universities/city-university-hong-kong
53,60.7,Netherlands,84.9,701,Delft University of Technology,"4,634",,88%,12%,52%,48%,51-100,"1,669","16,527",https://www.topuniversities.com/universities/delft-university-technology
54,63.9,United States,92.3,226,Duke University,"2,864",,77%,23%,58%,42%,51-100,"2,938","15,320",https://www.topuniversities.com/universities/duke-university
55,62.7,France,87.3,75,"Ecole normale supérieure, Paris",374,,98%,2%,93%,7%,51-100,178,"1,907",https://www.topuniversities.com/universities/ecole-normale-sup%C3%A9rieure-paris
56,61.2,China,82.6,"1,178",Fudan University,"4,680",,37%,63%,50%,50%,51-100,"4,037","29,135",https://www.topuniversities.com/universities/fudan-university
57,64.9,India,79.8,19,Indian Institute of Technology Bombay (IITB),93,,88%,12%,56%,44%,51-100,876,"9,402",https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb
58,63.3,India,83.4,4,Indian Institute of Technology Delhi (IITD),80,,100%,%,48%,52%,51-100,466,"7,477",https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd
59,65.4,United States,87.1,"1,061",Johns Hopkins University,"4,105",,79%,21%,63%,37%,51-100,"4,462","16,146",https://www.topuniversities.com/universities/johns-hopkins-university
60,64.1,Belgium,88.7,784,KU Leuven,"6,926",,78%,22%,52%,48%,51-100,"2,515","45,538",https://www.topuniversities.com/universities/ku-leuven
61,65.4,United Kingdom,88.6,"1,513",King's College London,"9,451",,50%,50%,36%,64%,51-100,"3,650","23,780",https://www.topuniversities.com/universities/kings-college-london
62,62.4,Germany,85.3,410,"KIT, Karlsruhe Institute of Technology","4,809",,56%,44%,46%,54%,51-100,"1,827","26,081",https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology
63,57.9,South Korea,84.2,339,Korea University,"3,638",,18%,82%,23%,77%,51-100,"3,745","25,892",https://www.topuniversities.com/universities/korea-university
64,64.5,Sweden,84.9,494,KTH Royal Institute of Technology,"1,937",,88%,12%,41%,59%,51-100,"1,500","12,658",https://www.topuniversities.com/universities/kth-royal-institute-technology
65,66,Japan,75.3,293,Kyoto University,"1,990",,89%,11%,42%,58%,51-100,"4,060","22,974",https://www.topuniversities.com/universities/kyoto-university
66,68.5,Germany,91,674,Ludwig-Maximilians-Universität München,"5,084",,44%,56%,36%,64%,51-100,"3,274","35,055",https://www.topuniversities.com/universities/ludwig-maximilians-universit%C3%A4t-m%C3%BCnchen
67,62.5,Canada,85.2,"1,220",McGill University,"9,540",,32%,68%,23%,77%,51-100,"3,646","28,837",https://www.topuniversities.com/universities/mcgill-university
68,62.2,Australia,82.5,"1,679",Monash University,"20,578",,43%,57%,25%,75%,51-100,"3,204","57,433",https://www.topuniversities.com/universities/monash-university
69,64,Taiwan,83.1,119,National Tsing Hua University,"1,187",,63%,37%,38%,62%,51-100,"1,020","13,890",https://www.topuniversities.com/universities/national-tsing-hua-university
70,57.1,United States,90.7,211,Pennsylvania State University,"7,081",,35%,65%,12%,88%,51-100,"3,509","45,612",https://www.topuniversities.com/universities/pennsylvania-state-university
71,62.8,South Korea,88.1,113,Pohang University of Science And Technology (POSTECH),126,,100%,%,56%,44%,51-100,664,"3,117",https://www.topuniversities.com/universities/pohang-university-science-technology-postech
72,57,Italy,83.5,9,Politecnico di Torino,"4,485",,44%,56%,36%,64%,51-100,840,"31,166",https://www.topuniversities.com/universities/politecnico-di-torino
73,63.8,United States,86.2,"1,334",Purdue University,"8,787",,41%,59%,23%,77%,51-100,"3,247","38,143",https://www.topuniversities.com/universities/purdue-university
74,62.1,Germany,81.7,449,RWTH Aachen University,"8,556",,65%,35%,50%,50%,51-100,"3,176","44,517",https://www.topuniversities.com/universities/rwth-aachen-university
75,58.8,Australia,84.1,"1,066",RMIT University,"8,674",,47%,53%,24%,76%,51-100,"1,915","32,667",https://www.topuniversities.com/universities/rmit-university
76,63.9,Italy,83.8,123,Sapienza University of Rome,"7,650",,47%,53%,50%,50%,51-100,"3,381","108,229",https://www.topuniversities.com/universities/sapienza-university-rome
77,55.7,South Korea,81.5,324,Sungkyunkwan University (SKKU),"2,818",,24%,76%,24%,76%,51-100,"3,556","23,921",https://www.topuniversities.com/universities/sungkyunkwan-university-skku
78,71,Israel,90.2,216,Technion - Israel Institute of Technology,735,,65%,35%,28%,72%,51-100,936,"13,132",https://www.topuniversities.com/universities/technion-israel-institute-technology
79,65.2,Germany,83.4,377,Technische Universität Berlin (TU Berlin),"4,494",,51%,49%,39%,61%,51-100,"2,562","22,176",https://www.topuniversities.com/universities/technische-universit%C3%A4t-berlin-tu-berlin
80,66,Austria,84.6,172,Vienna University of Technology,"5,199",,41%,59%,35%,65%,51-100,706,"17,479",https://www.topuniversities.com/universities/vienna-university-technology
81,58.5,"Hong Kong S.A.R., China",95.8,"1,275",The Hong Kong Polytechnic University,"5,251",,63%,37%,27%,73%,51-100,"2,447","20,972",https://www.topuniversities.com/universities/hong-kong-polytechnic-university
82,63,New Zealand,86.7,645,The University of Auckland,"8,568",,29%,71%,17%,83%,51-100,"2,047","29,641",https://www.topuniversities.com/universities/university-auckland
83,69.2,United Kingdom,87.5,"1,653",The University of Manchester,"13,514",,44%,56%,27%,73%,51-100,"4,910","36,670",https://www.topuniversities.com/universities/university-manchester
84,60.2,Australia,90.4,"1,870",The University of Queensland,"10,420",,44%,56%,22%,78%,51-100,"3,158","37,497",https://www.topuniversities.com/universities/university-queensland
85,64.1,Japan,74.4,191,Tokyo Institute of Technology,"1,071",,80%,20%,51%,49%,51-100,"1,563","9,832",https://www.topuniversities.com/universities/tokyo-institute-technology
86,62.4,Brazil,75.5,279,Universidade de São Paulo,"2,086",,83%,17%,46%,54%,51-100,"5,582","65,711",https://www.topuniversities.com/universities/universidade-de-s%C3%A3o-paulo
87,61.8,Brazil,79.4,109,Universidade Estadual de Campinas (Unicamp),966,,88%,12%,44%,56%,51-100,"1,968","26,572",https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp
88,59.8,Italy,86,153,Alma Mater Studiorum - University of Bologna,"4,195",,50%,50%,43%,57%,51-100,"2,990","63,399",https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna
89,67.5,Malaysia,83.6,655,Universiti Malaya (UM),"3,476",,75%,25%,46%,54%,51-100,"2,755","17,902",https://www.topuniversities.com/universities/universiti-malaya-um
90,67.7,Malaysia,80.3,288,Universiti Sains Malaysia (USM),"2,462",,71%,29%,33%,67%,51-100,"2,318","20,955",https://www.topuniversities.com/universities/universiti-sains-malaysia-usm
91,64.6,Malaysia,75.6,356,Universiti Teknologi Malaysia ,"3,046",,89%,11%,40%,60%,51-100,"2,613","17,419",https://www.topuniversities.com/universities/universiti-teknologi-malaysia
92,70.8,Netherlands,90.3,707,University of Amsterdam,"3,785",,66%,34%,37%,63%,51-100,"2,600","25,967",https://www.topuniversities.com/universities/university-amsterdam
93,65.7,United States,94.5,377,"University of California, Irvine","8,538",,21%,79%,16%,84%,51-100,"1,926","32,151",https://www.topuniversities.com/universities/university-california-irvine
94,68.8,United States,86.9,635,University of Chicago,"3,379",,76%,24%,57%,43%,51-100,"2,449","13,557",https://www.topuniversities.com/universities/university-chicago
95,66.2,United States,95.2,148,University of Massachusetts Amherst,"1,921",,54%,46%,15%,85%,51-100,"1,654","25,111",https://www.topuniversities.com/universities/university-massachusetts-amherst
96,60.4,China,82,155,University of Science and Technology of China,548,,96%,4%,54%,46%,51-100,"1,992","16,032",https://www.topuniversities.com/universities/university-science-technology-china
97,61.6,Australia,86.6,546,University of Technology Sydney,"7,769",,48%,52%,25%,75%,51-100,"1,328","24,207",https://www.topuniversities.com/universities/university-technology-sydney
98,60.4,United States,98.4,"1,151",University of Wisconsin-Madison,"4,920",,51%,49%,27%,73%,51-100,"5,722","38,985",https://www.topuniversities.com/universities/university-wisconsin-madison
99,54.6,South Korea,84.6,290,Yonsei University,"3,379",,15%,85%,24%,76%,51-100,"3,621","25,903",https://www.topuniversities.com/universities/yonsei-university
100,53.9,China,85.8,"1,913",Zhejiang University,"4,625",,40%,60%,51%,49%,51-100,"4,507","40,869",https://www.topuniversities.com/universities/zhejiang-university
101,58.8,United States,90,379,Brown University,"1,825",,49%,51%,29%,71%,101-150,"1,303","9,251",https://www.topuniversities.com/universities/brown-university
102,55.5,France,82.3,259,Ecole Polytechnique,924,,69%,31%,65%,35%,101-150,649,"3,126",https://www.topuniversities.com/universities/ecole-polytechnique
103,61.3,Netherlands,85.7,322,Eindhoven University of Technology,"1,275",,82%,18%,50%,50%,101-150,801,"7,636",https://www.topuniversities.com/universities/eindhoven-university-technology
104,53.3,South Korea,78.2,364,Hanyang University,"3,397",,25%,75%,9%,91%,101-150,"3,085","23,348",https://www.topuniversities.com/universities/hanyang-university
105,64.3,Germany,88.4,407,Humboldt-Universität zu Berlin,"4,805",,59%,41%,37%,63%,101-150,"1,966","33,198",https://www.topuniversities.com/universities/humboldt-universit%C3%A4t-zu-berlin
106,61.1,India,79.4,11,Indian Institute of Technology Madras (IITM),6,,83%,17%,61%,39%,101-150,673,"8,923",https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm
107,54.8,United States,93.5,766,Indiana University Bloomington,"7,434",,39%,61%,21%,79%,101-150,"4,907","65,397",https://www.topuniversities.com/universities/indiana-university-bloomington
108,59.7,United Kingdom,95.1,435,Lancaster University,"4,464",,36%,64%,24%,76%,101-150,"1,245","12,300",https://www.topuniversities.com/universities/lancaster-university
109,63.9,United Kingdom,63.4,687,London School of Economics and Political Science (LSE),"6,748",,66%,34%,53%,47%,101-150,"1,088","9,760",https://www.topuniversities.com/universities/london-school-economics-political-science-lse
110,54.8,China,82.4,617,Nanjing University,"2,960",,45%,55%,55%,45%,101-150,"2,449","32,495",https://www.topuniversities.com/universities/nanjing-university
111,54.7,Taiwan,83.7,170,National Cheng Kung University (NCKU),"2,432",,38%,62%,42%,58%,101-150,"2,000","21,088",https://www.topuniversities.com/universities/national-cheng-kung-university-ncku
112,58.8,Taiwan,81.6,162,National Chiao Tung University,"1,854",,56%,44%,50%,50%,101-150,"1,086","10,376",https://www.topuniversities.com/universities/national-chiao-tung-university
113,53,Taiwan,87.6,82,National Taiwan University of Science and Technology (Taiwan Tech),965,,63%,37%,42%,58%,101-150,"1,121","8,029",https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech
114,54.7,Greece,81.6,3,National Technical University of Athens,360,,%,%,6%,94%,101-150,501,"22,860",https://www.topuniversities.com/universities/national-technical-university-athens
115,54.7,United States,92.9,573,North Carolina State University,"4,120",,66%,34%,24%,76%,101-150,"2,562","27,748",https://www.topuniversities.com/universities/north-carolina-state-university
116,49.7,United States,89.1,"1,141",Northwestern University,"3,422",,79%,21%,55%,45%,101-150,"4,231","18,675",https://www.topuniversities.com/universities/northwestern-university
117,51.2,United States,91.8,"1,696",The Ohio State University,"6,874",,36%,64%,25%,75%,101-150,"5,911","43,156",https://www.topuniversities.com/universities/ohio-state-university
118,61.3,Japan,72,296,Osaka University,"2,106",,71%,29%,34%,66%,101-150,"2,814","22,760",https://www.topuniversities.com/universities/osaka-university
119,58.5,Spain,80.8,46,Politécnica de Madrid,"4,679",,30%,70%,18%,82%,101-150,"2,517","35,187",https://www.topuniversities.com/universities/polit%C3%A9cnica-de-madrid
120,56,Australia,86.3,722,Queensland University of Technology (QUT),"5,267",,43%,57%,14%,86%,101-150,"1,755","33,929",https://www.topuniversities.com/universities/queensland-university-technology-qut
121,58.6,United States,93.2,316,Rice University,"1,847",,66%,34%,42%,58%,101-150,969,"6,610",https://www.topuniversities.com/universities/rice-university
122,56.2,Canada,96.1,364,Simon Fraser University,"7,573",,18%,82%,13%,87%,101-150,974,"25,108",https://www.topuniversities.com/universities/simon-fraser-university
123,57.9,Germany,83.7,162,Technische Universität Darmstadt,"3,106",,57%,43%,42%,58%,101-150,779,"18,166",https://www.topuniversities.com/universities/technische-universit%C3%A4t-darmstadt
124,59.1,Israel,92.7,136,Tel Aviv University,"1,088",,63%,37%,38%,62%,101-150,"1,028","21,841",https://www.topuniversities.com/universities/tel-aviv-university
125,52.8,Australia,89.4,633,The University of Adelaide,"8,114",,39%,61%,23%,77%,101-150,"1,729","21,240",https://www.topuniversities.com/universities/university-adelaide
126,56.5,United Kingdom,85.3,890,The University of Warwick,"7,703",,49%,51%,31%,69%,101-150,"2,093","19,855",https://www.topuniversities.com/universities/university-warwick
127,61.7,Chile,87,127,Universidad de Chile,"2,134",,50%,50%,21%,79%,101-150,"2,256","38,848",https://www.topuniversities.com/universities/universidad-de-chile
128,64.9,Mexico,77.7,949,Universidad Nacional Autónoma de México  (UNAM),"2,173",,78%,22%,20%,80%,101-150,"15,073","141,939",https://www.topuniversities.com/universities/universidad-nacional-aut%C3%B3noma-de-m%C3%A9xico-unam
129,60.9,Italy,84.7,171,University of Milan,"3,260",,37%,63%,40%,60%,101-150,"2,454","56,425",https://www.topuniversities.com/universities/university-milan
130,63.5,Italy,86.6,148,University of Pisa,"2,092",,39%,61%,39%,61%,101-150,"2,517","51,510",https://www.topuniversities.com/universities/university-pisa
131,66.7,Germany,88.6,300,Universität des Saarlandes,"3,061",,%,%,%,%,101-150,"1,258","17,111",https://www.topuniversities.com/universities/universit%C3%A4t-des-saarlandes
132,60.6,Spain,85.3,120,Universitat Politècnica de Catalunya ,"2,659",,71%,29%,25%,75%,101-150,"2,334","21,126",https://www.topuniversities.com/universities/universitat-polit%C3%A8cnica-de-catalunya
133,55.4,Belgium,89.3,406,Université catholique de Louvain (UCL),"4,468",,53%,47%,51%,49%,101-150,"1,219","24,277",https://www.topuniversities.com/universities/universit%C3%A9-catholique-de-louvain-ucl
134,55.4,Canada,88.5,"1,037",Université de Montréal ,"9,688",,44%,56%,34%,66%,101-150,"2,961","39,112",https://www.topuniversities.com/universities/universit%C3%A9-de-montr%C3%A9al
135,62.4,Malaysia,71.7,435,Universiti Kebangsaan Malaysia (UKM),"2,681",,81%,19%,35%,65%,101-150,"2,460","18,094",https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm
136,58.1,Malaysia,80.9,401,Universiti Putra Malaysia (UPM),"4,778",,81%,19%,45%,55%,101-150,"2,334","20,924",https://www.topuniversities.com/universities/universiti-putra-malaysia-upm
137,51.7,Ireland,89.9,627,University College Dublin,"3,876",,48%,52%,24%,76%,101-150,"1,604","19,833",https://www.topuniversities.com/universities/university-college-dublin
138,52.8,Canada,91,"1,294",University of Alberta,"8,203",,38%,62%,20%,80%,101-150,"3,561","31,765",https://www.topuniversities.com/universities/university-alberta
139,55.5,United Kingdom,86.5,"1,028",University of Birmingham,"7,795",,57%,43%,30%,70%,101-150,"2,962","28,660",https://www.topuniversities.com/universities/university-birmingham
140,56.7,United Kingdom,87.2,942,University of Bristol,"5,099",,47%,53%,21%,79%,101-150,"2,870","20,630",https://www.topuniversities.com/universities/university-bristol
141,54,United States,92.9,549,"University of California, Davis","4,529",,31%,69%,19%,81%,101-150,"3,843","34,244",https://www.topuniversities.com/universities/university-california-davis
142,60.4,Denmark,88.9,"2,336",University of Copenhagen,"3,683",,61%,39%,49%,51%,101-150,"7,483","32,119",https://www.topuniversities.com/universities/university-copenhagen
143,63.8,United Kingdom,92.9,956,University of Glasgow,"8,149",,50%,50%,28%,72%,101-150,"2,775","23,815",https://www.topuniversities.com/universities/university-glasgow
144,60.4,Finland,81.7,535,University of Helsinki,"1,234",,85%,15%,41%,59%,101-150,"2,645","22,419",https://www.topuniversities.com/universities/university-helsinki
145,55.8,Portugal,79.6,115,University of Lisbon ,"6,548",,71%,29%,40%,60%,101-150,"3,027","50,667",https://www.topuniversities.com/universities/university-lisbon
146,48.8,United States,92.7,195,University of Minnesota,"6,542",,39%,61%,24%,76%,101-150,"4,919","59,742",https://www.topuniversities.com/universities/university-minnesota
147,65.7,United States,92.2,524,"University of North Carolina, Chapel Hill","1,934",,52%,48%,30%,70%,101-150,"4,083","25,373",https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
148,62.2,United Kingdom,86.2,"1,017",University of Southampton,"7,789",,53%,47%,28%,72%,101-150,"2,820","23,775",https://www.topuniversities.com/universities/university-southampton
149,57.8,Switzerland,87.7,"2,617",University of Zurich,"5,036",,71%,29%,48%,52%,101-150,"4,997","26,065",https://www.topuniversities.com/universities/university-zurich
150,61.2,Sweden,88.6,584,Uppsala University,"5,198",,72%,28%,30%,70%,101-150,"2,567","25,371",https://www.topuniversities.com/universities/uppsala-university
151,66.9,Netherlands,86.6,331,Vrije Universiteit Amsterdam,"1,805",,75%,25%,42%,58%,101-150,"2,095","23,278",https://www.topuniversities.com/universities/vrije-universiteit-amsterdam
152,56.7,Japan,69,492,Waseda University,"6,230",,47%,53%,17%,83%,101-150,"3,850","46,301",https://www.topuniversities.com/universities/waseda-university
153,51.5,Denmark,84.7,461,Aalborg University,"2,625",,71%,29%,43%,57%,151-200,"1,722","16,942",https://www.topuniversities.com/universities/aalborg-university
154,53.6,Finland,82.8,370,Aalto University,"1,831",,92%,8%,54%,46%,151-200,"1,257","12,147",https://www.topuniversities.com/universities/aalto-university
155,47.9,United States,88.2,588,Arizona State University,"9,722",,35%,65%,16%,84%,151-200,"2,578","47,503",https://www.topuniversities.com/universities/arizona-state-university
156,40.6,France,84.6,137,CentraleSupélec,"1,132",,81%,19%,74%,26%,151-200,529,"3,877",https://www.topuniversities.com/universities/centralesup%C3%A9lec
157,55.8,Sweden,83.5,336,Chalmers University of Technology,"1,465",,92%,8%,45%,55%,151-200,"1,077","9,257",https://www.topuniversities.com/universities/chalmers-university-technology
158,48.7,China,83.9,160,Harbin Institute of Technology,"1,408",,67%,33%,46%,54%,151-200,"3,157","29,931",https://www.topuniversities.com/universities/harbin-institute-technology
159,62.2,Israel,90.7,454,The Hebrew University of Jerusalem,"1,034",,60%,40%,43%,57%,151-200,"2,249","16,531",https://www.topuniversities.com/universities/hebrew-university-jerusalem
160,57.1,India,80.4,,Indian Institute of Science (IISc) Bangalore,47,,85%,15%,88%,12%,151-200,423,"4,071",https://www.topuniversities.com/universities/indian-institute-science-iisc-bangalore
161,58.8,India,78.3,4,Indian Institute of Technology Kanpur (IITK),34,,100%,%,48%,52%,151-200,416,"6,609",https://www.topuniversities.com/universities/indian-institute-technology-kanpur-iitk
162,57.1,India,81.4,24,Indian Institute of Technology Kharagpur (IIT-KGP),5,,%,100%,52%,48%,151-200,638,"11,026",https://www.topuniversities.com/universities/indian-institute-technology-kharagpur-iit-kgp
