,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
263,47.3,Ireland,72.8,306,Dublin City University,"2,263",,32%,68%,15%,85%,251-300,"1,080","12,008",https://www.topuniversities.com/universities/dublin-city-university
264,42,Saudi Arabia,86.2,"1,858",King Abdulaziz University (KAU),"6,985",,31%,69%,16%,84%,251-300,"4,134","33,310",https://www.topuniversities.com/universities/king-abdulaziz-university-kau
265,49.8,Netherlands,81.6,581,Leiden University,"3,488",,63%,37%,39%,61%,251-300,"2,324","26,513",https://www.topuniversities.com/universities/leiden-university
266,47.9,Sweden,87.5,370,Linköping University,"1,564",,65%,35%,37%,63%,251-300,"2,310","18,148",https://www.topuniversities.com/universities/link%C3%B6ping-university
267,45.7,Turkey,78.8,68,Middle East Technical University,"1,474",,33%,67%,31%,69%,251-300,"1,123","27,295",https://www.topuniversities.com/universities/middle-east-technical-university
268,53.4,Russia,49.4,129,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),786,,44%,44%,36%,60%,251-300,"1,144","5,922",https://www.topuniversities.com/universities/moscow-institute-physics-technology-mipt-moscow-phystech
269,51.1,Malaysia,69.6,90,Multimedia University (MMU),"2,062",,30%,70%,8%,92%,251-300,612,"10,189",https://www.topuniversities.com/universities/multimedia-university-mmu
270,54.5,Japan,68.1,206,Nagoya University,"1,547",,80%,20%,38%,62%,251-300,"2,665","15,838",https://www.topuniversities.com/universities/nagoya-university
271,46.3,Taiwan,81.5,11,National Chung Hsing University,710,,36%,64%,39%,61%,251-300,822,"14,252",https://www.topuniversities.com/universities/national-chung-hsing-university
272,51.6,Pakistan,72.6,26,National University of Sciences And Technology (NUST) Islamabad,298,,1%,99%,30%,70%,251-300,"1,377","10,056",https://www.topuniversities.com/universities/national-university-sciences-technology-nust-islamabad
273,60.4,Russia,41,45,Novosibirsk State University,"1,342",,25%,75%,26%,74%,251-300,"1,038","7,204",https://www.topuniversities.com/universities/novosibirsk-state-university
274,61.6,Brazil,65.2,62,Pontifícia Universidade Católica do Rio de Janeiro,678,,46%,54%,17%,83%,251-300,753,"15,425",https://www.topuniversities.com/universities/pontif%C3%ADcia-universidade-cat%C3%B3lica-do-rio-de-janeiro
275,43.6,United Kingdom,82.1,767,Queen's University Belfast,"5,715",,22%,78%,19%,81%,251-300,"1,720","17,831",https://www.topuniversities.com/universities/queens-university-belfast
276,46.5,United States,87.5,97,Rensselaer Polytechnic Institute,"1,137",,46%,54%,15%,85%,251-300,588,"6,834",https://www.topuniversities.com/universities/rensselaer-polytechnic-institute
277,56.2,United Kingdom,74,308,Royal Holloway University of London,"3,509",,37%,63%,24%,76%,251-300,717,"9,060",https://www.topuniversities.com/universities/royal-holloway-university-london
278,44.5,South Korea,72.6,60,Sogang University,672,,35%,65%,23%,77%,251-300,957,"9,596",https://www.topuniversities.com/universities/sogang-university
279,52.9,Sweden,78.7,646,Stockholm University,"2,636",,50%,50%,24%,76%,251-300,"2,154","28,281",https://www.topuniversities.com/universities/stockholm-university
280,47.9,Spain,91.9,77,University of Granada,"5,626",,21%,79%,10%,90%,251-300,"3,230","55,736",https://www.topuniversities.com/universities/university-granada
281,39.8,Italy,85.6,12,University of Naples - Federico II,369,,12%,88%,18%,82%,251-300,"2,359","79,894",https://www.topuniversities.com/universities/university-naples-federico-ii
282,46.7,Canada,82.5,255,Université du Québec,"3,271",,%,%,19%,81%,251-300,"1,711","46,514",https://www.topuniversities.com/universities/universit%C3%A9-du-qu%C3%A9bec
283,52.3,France,76.4,244,Université Grenoble-Alpes,"5,308",,63%,37%,37%,63%,251-300,"2,374","40,758",https://www.topuniversities.com/universities/universit%C3%A9-grenoble-alpes
284,48.2,Belgium,82.2,286,Universite libre de Bruxelles,"7,539",,53%,47%,48%,52%,251-300,810,"23,021",https://www.topuniversities.com/universities/universite-libre-de-bruxelles
285,48.7,France,81.3,640,Université Paris-Sud,"4,421",,68%,32%,47%,53%,251-300,"3,754","26,945",https://www.topuniversities.com/universities/universit%C3%A9-paris-sud
286,54.4,Malaysia,65.1,76,Universiti Teknologi MARA - UiTM,116,,100%,%,16%,84%,251-300,"3,111","42,376",https://www.topuniversities.com/universities/universiti-teknologi-mara-uitm
287,51.7,Malaysia,73.8,138,Universiti Teknologi Petronas (Petronas),"1,008",,57%,43%,17%,83%,251-300,458,"5,938",https://www.topuniversities.com/universities/universiti-teknologi-petronas-petronas
288,40.1,United States,92.7,193,"University of California, Riverside","1,657",,55%,45%,13%,87%,251-300,"1,186","21,066",https://www.topuniversities.com/universities/university-california-riverside
289,49.7,United States,91.9,89,"University of California, Santa Cruz",938,,39%,61%,9%,91%,251-300,928,"17,550",https://www.topuniversities.com/universities/university-california-santa-cruz
290,48.8,Portugal,81.2,69,University of Coimbra,"3,623",,56%,44%,58%,42%,251-300,"1,407","21,214",https://www.topuniversities.com/universities/university-coimbra
291,45.5,United States,90,504,University of Florida,"4,597",,88%,12%,31%,69%,251-300,"5,419","45,485",https://www.topuniversities.com/universities/university-florida
292,43.8,Belgium,85.5,482,Ghent University,"3,766",,80%,20%,45%,55%,251-300,"2,520","35,968",https://www.topuniversities.com/universities/ghent-university
293,46.9,United Kingdom,83.8,870,University of Leeds,"7,534",,57%,43%,25%,75%,251-300,"3,025","29,645",https://www.topuniversities.com/universities/university-leeds
294,49.3,United Kingdom,84.1,717,University of Liverpool,"7,502",,27%,73%,16%,84%,251-300,"2,390","22,065",https://www.topuniversities.com/universities/university-liverpool
295,44.2,Canada,85,497,University of Ottawa,"6,181",,34%,66%,23%,77%,251-300,"1,586","35,003",https://www.topuniversities.com/universities/university-ottawa
296,48.3,United Kingdom,84.8,410,University of Surrey,"5,749",,34%,66%,19%,81%,251-300,"1,050","14,637",https://www.topuniversities.com/universities/university-surrey
297,56.1,Poland,77.9,168,University of Warsaw ,"2,712",,53%,47%,48%,52%,251-300,"3,522","42,844",https://www.topuniversities.com/universities/university-warsaw
298,47.5,United States,87.6,470,Vanderbilt University,"1,671",,55%,45%,43%,57%,251-300,"4,220","12,037",https://www.topuniversities.com/universities/vanderbilt-university
299,48.8,Belgium,80,515,Vrije Universiteit Brussel (VUB),"1,853",,81%,19%,53%,47%,251-300,"1,792","9,284",https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub
300,45.5,Canada,83.4,328,York University,"8,932",,12%,88%,8%,92%,251-300,"2,357","40,325",https://www.topuniversities.com/universities/york-university
301,41.1,Greece,82.1,11,Aristotle University of Thessaloniki,"4,387",,11%,89%,18%,82%,301-350,"1,848","45,712",https://www.topuniversities.com/universities/aristotle-university-thessaloniki
302,44.8,China,77.4,37,Beijing Jiaotong University,"1,175",,39%,61%,40%,60%,301-350,"1,928","26,580",https://www.topuniversities.com/universities/beijing-jiaotong-university
303,39.8,China,76.8,66,Beijing University of Posts and Telecommunications,196,,58%,42%,62%,38%,301-350,"1,709","8,633",https://www.topuniversities.com/universities/beijing-university-posts-telecommunications
304,48.6,Israel,86.2,305,Ben Gurion University of The Negev,"2,632",,37%,63%,29%,71%,301-350,"1,095","17,072",https://www.topuniversities.com/universities/ben-gurion-university-negev
305,47.2,Czech Republic,72.6,92,Brno University of Technology,"3,995",,33%,67%,40%,60%,301-350,"1,322","20,343",https://www.topuniversities.com/universities/brno-university-technology
306,51,Hungary,72.8,13,Budapest University of Technology and Economics,807,,34%,66%,25%,75%,301-350,"1,375","19,499",https://www.topuniversities.com/universities/budapest-university-technology-economics
307,45.2,United Kingdom,73.4,372,"City, University of London","6,958",,44%,56%,35%,65%,301-350,863,"13,808",https://www.topuniversities.com/universities/city-university-london
308,49.2,Germany,76.9,796,Eberhard Karls Universität Tübingen,"3,860",,57%,43%,56%,44%,301-350,"3,844","27,366",https://www.topuniversities.com/universities/eberhard-karls-universit%C3%A4t-t%C3%BCbingen
309,48.7,Germany,77.6,641,University of Göttingen,"3,736",,62%,38%,33%,67%,301-350,"3,678","30,402",https://www.topuniversities.com/universities/university-g%C3%B6ttingen
310,49.4,Japan,66.3,210,Hokkaido University,"1,347",,87%,13%,34%,66%,301-350,"2,605","17,552",https://www.topuniversities.com/universities/hokkaido-university
311,42.4,"Hong Kong S.A.R., China",84,413,Hong Kong Baptist University,"2,518",,68%,32%,25%,75%,301-350,827,"9,206",https://www.topuniversities.com/universities/hong-kong-baptist-university
312,49.2,India,81,4,Indian Institute of Technology Roorkee (IITR),95,,100%,%,46%,54%,301-350,496,"8,240",https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr
313,52.5,,84.4,,Indian Statistical Institute,,,,,,,301-350,,,https://www.topuniversities.com/universities/indian-statistical-institute
314,40.7,United States,89.6,278,Iowa State University,"3,561",,46%,54%,13%,87%,301-350,"2,193","33,306",https://www.topuniversities.com/universities/iowa-state-university
315,43.3,Turkey,77.9,53,Istanbul Technical University,"1,652",,50%,50%,40%,60%,301-350,"2,410","38,387",https://www.topuniversities.com/universities/istanbul-technical-university
316,42.2,Saudi Arabia,83.9,130,King Abdullah University of Science & Technology,633,,100%,%,100%,%,301-350,133,901,https://www.topuniversities.com/universities/king-abdullah-university-science-technology
317,43.6,South Korea,73.2,87,Kyungpook National University,927,,48%,52%,17%,83%,301-350,"2,082","28,583",https://www.topuniversities.com/universities/kyungpook-national-university
318,44.6,Australia,79.8,518,La Trobe University,"8,071",,39%,61%,20%,80%,301-350,"1,253","24,600",https://www.topuniversities.com/universities/la-trobe-university
319,44.8,United Kingdom,81.8,376,Loughborough University,"3,222",,56%,44%,19%,81%,301-350,"1,315","15,335",https://www.topuniversities.com/universities/loughborough-university
320,47.7,Taiwan,69.7,47,National Chengchi University,"1,556",,42%,58%,26%,74%,301-350,862,"11,323",https://www.topuniversities.com/universities/national-chengchi-university
321,44.5,Taiwan,83.3,82,National Taipei University of Technology,761,,40%,60%,42%,58%,301-350,781,"8,072",https://www.topuniversities.com/universities/national-taipei-university-technology
322,46.3,United Kingdom,63.1,212,Oxford Brookes University,"3,574",,35%,65%,19%,81%,301-350,890,"13,550",https://www.topuniversities.com/universities/oxford-brookes-university
323,45,China,76.8,115,Renmin (People's) University of China,"1,231",,26%,74%,53%,47%,301-350,"2,273","25,882",https://www.topuniversities.com/universities/renmin-peoples-university-china
324,42.6,Finland,79,100,Tampere University of Technology ,563,,94%,6%,48%,52%,301-350,705,"5,718",https://www.topuniversities.com/universities/tampere-university-technology
325,47.1,Spain,81,100,Universitat Politècnica de València,"2,519",,53%,47%,26%,74%,301-350,"3,132","20,881",https://www.topuniversities.com/universities/universitat-polit%C3%A8cnica-de-val%C3%A8ncia
