1st Year Fee in Pound,1st Year Total Fee,1st year Fee in INR,Accomodation Offered,Application Fee INR ,Application Fee Pound ,Application fee INR ,Application fee Pound ,Bachelors,Books & Supplies INR ,Books & Supplies Pound ,Books INR ,Books Pound ,Books and Stationary INR ,Books and Stationary Pound ,Books and Supplies INR ,Books and Supplies Pound ,Books and photocopying INR ,Books and photocopying Pound ,Books and supplies INR ,Books and supplies Pound ,Books/ Printing INR ,Books/ Printing Pound ,Books/equipment INR ,Books/equipment Pound ,Class 12th,Course Costs INR ,Course Costs Pound ,Course materials INR ,Course materials Pound ,CourseName,Deposit Fee INR ,Deposit Fee Pound ,Duration,Examination Fee INR ,Examination Fee Pound ,General Expenses INR ,General Expenses Pound ,Hall Deposit INR ,Hall Deposit Pound ,Health cost INR ,Health cost Pound ,Hostel & Meals INR ,Hostel & Meals Pound ,IELTS,IELTS Recommendation,Insurance INR ,Insurance Pound ,International Deposit INR ,International Deposit Pound ,Level,Living Expenses INR ,Living Expenses Pound ,Living cost INR ,Living cost Pound ,Living costs INR ,Living costs Pound ,Miscellaneous INR ,Miscellaneous Pound ,Miscellaneous expense INR ,Miscellaneous expense Pound ,Other Expenses INR ,Other Expenses Pound ,PTE,PTE Recommendation,Payment Administration INR ,Payment Administration Pound ,Personal Expense INR ,Personal Expense Pound ,Personal Expenses INR ,Personal Expenses Pound ,Personal expense INR ,Personal expense Pound ,Private/Public,Residence Booking fee INR ,Residence Booking fee Pound ,Schol Link,Schol Text,Scholarship Offered,Total INR ,Total Pound ,Transportation INR ,Transportation Pound ,URL,Work experience
"11,220",Rs 11.9 Lakhs,"9,37,543",Yes,,,,,65%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechanical Engineering,,,1 Years,,,,,,,,,"2,49,009","2,980",6,With a minimum of 5.5 in each component,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,Public,,,http://www.uwtsd.ac.uk/india/,['International Postgraduate Study Scholarship: Available to international students enrolling on the first year of a postgraduate programme. The scholarship is awarded as fee reduction'],Yes,"Rs. 2,49,009","Pound 2,980",,,https://studyabroad.shiksha.com/uk/universities/university-of-wales-trinity-saint-david/msc-mechanical-engineering,5years
"19,000",Rs 18.2 Lakhs,"15,87,640",Yes,,,,,55%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,Master of Science in Advanced Mechanical Engineering,,,1 Years,,,,,,,,,"2,31,378","2,769",6,With not less than 5.5 in any component,,,,,Masters Program,,,,,,,,,,,,,55,With minimum of 51 in each component,,,,,,,,,Public,,,http://www.qub.ac.uk/home/StudyatQueens/InternationalStudents/InternationalScholarships/,['Scholarships are provided by the university'],Yes,"Rs. 2,31,378","Pound 2,769",,,https://studyabroad.shiksha.com/uk/universities/queen-s-university-belfast/master-of-science-in-advanced-mechanical-engineering,2years
"17,220",Rs 18.1 Lakhs,"14,38,903",Yes,,,,,60%,,,,,,,"20,890",250,,,,,,,,,No specific cutoff mentioned,,,,,Master of Science in Advanced Mechanical Engineering,,,1 Years,,,,,,,,,"3,53,793","4,234",6.5,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,Public,,,http://www.hw.ac.uk/student-life/scholarships/scholarships-bursaries.htm,['Scholarships are provided by the university.'],Yes,"Rs. 3,74,683","Pound 4,484",,,https://studyabroad.shiksha.com/uk/universities/heriot-watt-university/master-of-science-in-advanced-mechanical-engineering,
"13,450",Rs 11.2 Lakhs,"11,23,882",Yes,,,"1,086",13,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc in Mechanical Engineering,,,1 Years,,,,,,,,,,,6.5,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,Public,,,http://www.uclan.ac.uk/study_here/fees_and_finance/excellence-scholarship.php,"['Excellence Scholarship amounting £1,500 ,for New Students only']",Yes,"Rs. 1,086",Pound 13.00,,,https://studyabroad.shiksha.com/uk/universities/university-of-central-lancashire/msc-in-mechanical-engineering,
"20,500",Rs 22.1 Lakhs,"17,12,980",Yes,,,,,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechanical Engineering,,,1 Years,,,,,,,,,,,6.5,"With 6.0 in each individual element (reading, writing, listening and speaking)",,,,,Masters Program,,,,,,,,,,,,,,,,,,,"5,01,360","6,000",,,Public,,,http://www.lboro.ac.uk/study/finance/international/departmental/wolfson-school/,"[""Loughborough University 25% International Scholarship: All MSc programmes of Mechanical and Manufacturing Engineering are eligible for this scholarship. 25% of the programme tuition fee which will be credited to the student's tuition fee account. If full supporting documentation is supplied with the application to study in the department, then the students will be automatically considered for a scholarship. No separate scholarship application is required""]",Yes,"Rs. 5,01,360","Pound 6,000",,,https://studyabroad.shiksha.com/uk/universities/loughborough-university/msc-mechanical-engineering,
"17,935",Rs 28.1 Lakhs,"14,98,649",Yes,,,,,50%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,Master of Science in Mechatronics,,,12 Months,,,,,,,,,"3,88,387","4,648",6.5,At least 5.5 or equivalent in each of the four sub-skills,"20,890",250,,,Masters Program,,,,,,,,,,,,,62,With a minimum sub-score of 51,,,"8,77,380","10,500",,,,,Public,,,http://www.ncl.ac.uk/postgraduate/international/finance/awards/uniawards.htm,['Following scholarships are availaible for the students:\n-Country Specific Scholarships\n-International Family Discounts (IFD)\n-Newcastle University International Postgraduate Scholarship (NUIPS)\n-Newcastle University Overseas Research Scholarship (NUORS)'],Yes,"Rs. 13,11,725","Pound 15,698","25,068",300,https://studyabroad.shiksha.com/uk/universities/newcastle-university/master-of-science-in-mechatronics,
"12,600",Rs 16.5 Lakhs,"10,52,856",Yes,,,,,50%,,,,,,,,,,,,,"33,424",400,,,No specific cutoff mentioned,,,,,MSc Applied Instrumentation and Control (Oil & Gas),,,1 Years,,,,,,,,,"3,45,437","4,134",6,With no element less than 5.5,,,,,Masters Program,,,,,,,,,,,,,54,With no element less than 51,,,,,"1,67,120","2,000",,,Public,,,http://www.gcu.ac.uk/study/scholarships/international/,"['1. International Scholarships-\n', 'Students enrolling in January for this course is eligible for guaranteed scholarship GBP 2000\n', 'These scholarships are offered to full time students and are administered as fee reductions for overseas students and are awarded at the application stage when an offer of a place is made\n2. Indian Scholarship for PG students\n', 'GBP 500 for overall average of 75% or above and GBP 1000 for first class with distinction (3 or 4 year degree)']",Yes,"Rs. 6,00,295","Pound 7,184","54,314",650,https://studyabroad.shiksha.com/uk/universities/glasgow-caledonian-university/msc-applied-instrumentation-and-control-oil-gas,
"16,850",Rs 19.5 Lakhs,"14,07,986",Yes,,,,,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechanical Engineering (Modelling),,,1 Years,,,,,"20,890",250,,,"5,20,913","6,234",6.5,No band less than 6.0,,,,,Masters Program,,,,,,,,,,,,,63,No band less than 57,,,,,,,,,Public,,,http://www.aston.ac.uk/international/international-students/your-country/south-asia/india/,"['Postgraduate Taught Scholarships are offered to International Students which includes:\n1. Aston Excellence - University offer the 50th Anniversary Postgraduate Scholarships worth £5000 each\n2. Automatic Merit - Applicants achieving a UK 2:1 degree classification, or a local equivalent, will automatically be awarded a scholarship of between £2,500 and £3,000']",Yes,"Rs. 5,41,803","Pound 6,484",,,https://studyabroad.shiksha.com/uk/universities/aston-university/msc-mechanical-engineering-modelling,
"18,100",Rs 17.9 Lakhs,"15,12,436",Yes,,,,,55%,,,,,,,,,,,"25,068",300,,,,,No specific cutoff mentioned,,,,,MSc Drilling and Well Engineering,,,45 Weeks,,,,,,,,,,,6.5,Minimum score of 5.5 in each component,,,,,Masters Program,,,,,,,,,"2,50,680","3,000",,,61,Minimum of 51 in each of the four individual elements,,,,,,,,,Public,,,,,Yes,"Rs. 2,75,748","Pound 3,300",,,https://studyabroad.shiksha.com/uk/universities/robert-gordon-university/msc-drilling-and-well-engineering,2years
"17,600",Rs 19.5 Lakhs,"14,70,656",Yes,,,,,60%,,,,,,,"35,095",420,,,,,,,,,No specific cutoff mentioned,,,,,Master of Science in Mechanical Engineering,,,12 Months,,,,,,,,,"3,32,652","3,981",6,With at least 5.5 in each of the four sub-tests,,,,,Masters Program,,,,,,,,,,,,,55,With at least 51 in each of the four sub-tests,,,,,"76,875",920,,,Public,,,http://www.bradford.ac.uk/fees-and-financial-support/university-scholarships-and-support/2014-15/country-specific-scholarships-for-international-students/,"['', 'The University offers scholarship to full time students\n', 'Students on discounted partnership programs are not entitled to this scholarship']",Yes,"Rs. 4,79,718","Pound 5,741","35,095",420,https://studyabroad.shiksha.com/uk/universities/university-of-bradford/master-of-science-in-mechanical-engineering,No work experience mentioned
