1st Year Fee in USD,1st Year Total Fee,1st year Fee in INR,Academic Excellence & Success Fee INR ,Academic Excellence & Success Fee USD ,Academic Excellence Fee INR ,Academic Excellence Fee USD ,Academic Facilities Fee INR ,Academic Facilities Fee USD ,Academic Fees INR ,Academic Fees USD ,Academic Records Fee INR ,Academic Records Fee USD ,Accommodation Reservation Charge INR ,Accommodation Reservation Charge USD ,Accommodation Service Fee INR ,Accommodation Service Fee USD ,Accomodation Offered,Ackerman/Kerckhoff Seismic Fee INR ,Ackerman/Kerckhoff Seismic Fee USD ,Activity & Service fee INR ,Activity & Service fee USD ,Activity Fee INR ,Activity Fee USD ,Activity Fees INR ,Activity Fees USD ,Additional Assessment Fee INR ,Additional Assessment Fee USD ,Additional fee INR ,Additional fee USD ,Administrative Fee INR ,Administrative Fee USD ,Advising & Assessment Fee INR ,Advising & Assessment Fee USD ,Application Fee INR ,Application Fee USD ,Application Fees INR ,Application Fees USD ,Application fee INR ,Application fee USD ,Associated Student Body Fee INR ,Associated Student Body Fee USD ,Associated Students Inc INR ,Associated Students Inc USD ,Athletic Fee INR ,Athletic Fee USD ,Athletic fee INR ,Athletic fee USD ,Bachelors,Between Semesters INR ,Between Semesters USD ,Books & Supplies INR ,Books & Supplies USD ,Books INR ,Books USD ,Books and Supplies INR ,Books and Supplies USD ,Books and Supplies fee INR ,Books and Supplies fee USD ,Books and supplies INR ,Books and supplies USD ,Books/Supplies INR ,Books/Supplies USD ,Books/Supplies/Transport/Personal INR ,Books/Supplies/Transport/Personal USD ,Books/supplies/other expenses INR ,Books/supplies/other expenses USD ,Building Fee INR ,Building Fee USD ,COE Program Enhancement Fee INR ,COE Program Enhancement Fee USD ,Campus Based Fees INR ,Campus Based Fees USD ,Campus Fee INR ,Campus Fee USD ,Campus Fees INR ,Campus Fees USD ,Campus Life Fee INR ,Campus Life Fee USD ,Campus Rec Facility Fee INR ,Campus Rec Facility Fee USD ,Campus Union Fee INR ,Campus Union Fee USD ,Campus security Fee INR ,Campus security Fee USD ,Capital Construction Fee INR ,Capital Construction Fee USD ,Class 12th,Clothing/ Maintenance INR ,Clothing/ Maintenance USD ,College Fee INR ,College Fee USD ,Commencement Fee INR ,Commencement Fee USD ,Comprehensive Fee INR ,Comprehensive Fee USD ,Computer / Technology Fee INR ,Computer / Technology Fee USD ,Computer Purchase INR ,Computer Purchase USD ,Computer/Cell Phone INR ,Computer/Cell Phone USD ,Computing and Network Services INR ,Computing and Network Services USD ,CourseName,Discipline Fee INR ,Discipline Fee USD ,Document Evaluation INR ,Document Evaluation USD ,Document Fee INR ,Document Fee USD ,Duration,Early Childhood Edu Center Fee INR ,Early Childhood Edu Center Fee USD ,Engineering Activity Fee INR ,Engineering Activity Fee USD ,Engineering Equipment Fee INR ,Engineering Equipment Fee USD ,Engineering Fee INR ,Engineering Fee USD ,Engineering tuition surcharge INR ,Engineering tuition surcharge USD ,Enrollment Deposit INR ,Enrollment Deposit USD ,Enrollment Fee INR ,Enrollment Fee USD ,Enrollment deposit fee INR ,Enrollment deposit fee USD ,Facilities Fee INR ,Facilities Fee USD ,Fees INR ,Fees USD ,GRE,GRE Recommendation,General Activity Fee INR ,General Activity Fee USD ,General Fee INR ,General Fee USD ,Government Fee INR ,Government Fee USD ,Graduate Differential Fee INR ,Graduate Differential Fee USD ,Graduate Entering Fee INR ,Graduate Entering Fee USD ,Graduate General Fee INR ,Graduate General Fee USD ,Graduate Program Enhancement Fees INR ,Graduate Program Enhancement Fees USD ,Graduate Program Fee INR ,Graduate Program Fee USD ,Graduate Senate Tax INR ,Graduate Senate Tax USD ,Graduate Student Activity Fee INR ,Graduate Student Activity Fee USD ,Graduate Student Association Fee INR ,Graduate Student Association Fee USD ,Health Care Allowance INR ,Health Care Allowance USD ,Health Center Fee INR ,Health Center Fee USD ,Health Fee INR ,Health Fee USD ,Health Service Fee INR ,Health Service Fee USD ,Health Services Fee INR ,Health Services Fee USD ,Health and Counseling Center Fee INR ,Health and Counseling Center Fee USD ,Health and Wellness Fee INR ,Health and Wellness Fee USD ,Health fee INR ,Health fee USD ,Hostel & Meals INR ,Hostel & Meals USD ,Housing Application Fee INR ,Housing Application Fee USD ,Housing Application Fees INR ,Housing Application Fees USD ,Housing Deposit INR ,Housing Deposit USD ,Housing Fee INR ,Housing Fee USD ,IELTS,IELTS Recommendation,IT Service and Maintenance Fee INR ,IT Service and Maintenance Fee USD ,ITIE Fee INR ,ITIE Fee USD ,Incidentals INR ,Incidentals USD ,Information Technology Fee INR ,Information Technology Fee USD ,Information tech fee INR ,Information tech fee USD ,Insurance INR ,Insurance USD ,Intercollegiate Athletics Fee INR ,Intercollegiate Athletics Fee USD ,International Fee INR ,International Fee USD ,International Infrastructural Fee INR ,International Infrastructural Fee USD ,International Services Charge INR ,International Services Charge USD ,International Student Enrollment Fe INR ,International Student Enrollment Fe USD ,International Student Fee INR ,International Student Fee USD ,International Student Service Fee INR ,International Student Service Fee USD ,International student fee INR ,International student fee USD ,Lab Fee INR ,Lab Fee USD ,Laboratory Fees INR ,Laboratory Fees USD ,Level,Library & IT Fee INR ,Library & IT Fee USD ,Library Automation & Technology Fee INR ,Library Automation & Technology Fee USD ,Library Fee INR ,Library Fee USD ,Library Services Fee INR ,Library Services Fee USD ,Living Expenses INR ,Living Expenses USD ,Living expenses INR ,Living expenses USD ,Maintenance Fee INR ,Maintenance Fee USD ,Maintenance of Matriculation Fee INR ,Maintenance of Matriculation Fee USD ,Mandatory Fees INR ,Mandatory Fees USD ,Mandatory Health Fee INR ,Mandatory Health Fee USD ,Mandatory fees INR ,Mandatory fees USD ,Material & Supply Fee INR ,Material & Supply Fee USD ,Matriculation Fee INR ,Matriculation Fee USD ,Medical Plans INR ,Medical Plans USD ,Medical Service Fee INR ,Medical Service Fee USD ,Miscellaneous Expense INR ,Miscellaneous Expense USD ,Miscellaneous Fee INR ,Miscellaneous Fee USD ,Miscellaneous Fees INR ,Miscellaneous Fees USD ,Miscellaneous INR ,Miscellaneous USD ,Miscellaneous and Personal Expense INR ,Miscellaneous and Personal Expense USD ,Miscellaneous expense INR ,Miscellaneous expense USD ,Miscellaneous expenses INR ,Miscellaneous expenses USD ,Miscellaneous fee INR ,Miscellaneous fee USD ,Miscellaneous/Personal INR ,Miscellaneous/Personal USD ,New Student Fee INR ,New Student Fee USD ,New international student fee INR ,New international student fee USD ,Non resident financial aid fee INR ,Non resident financial aid fee USD ,One to One Fitness INR ,One to One Fitness USD ,Orientation Fee INR ,Orientation Fee USD ,Other Costs INR ,Other Costs USD ,Other Mandatory fees INR ,Other Mandatory fees USD ,Other expenses INR ,Other expenses USD ,Other fees INR ,Other fees USD ,PTE,PTE Recommendation,Personal & Misc. INR ,Personal & Misc. USD ,Personal & Miscellaneous INR ,Personal & Miscellaneous USD ,Personal / Misc INR ,Personal / Misc USD ,Personal Expenses INR ,Personal Expenses USD ,Personal INR ,Personal USD ,Personal expense INR ,Personal expense USD ,Personal expenses INR ,Personal expenses USD ,Personal/ travel Expenses INR ,Personal/ travel Expenses USD ,Personal/Miscellaneous INR ,Personal/Miscellaneous USD ,Private/Public,Program Fee INR ,Program Fee USD ,Property Deposit Fee INR ,Property Deposit Fee USD ,Rec Sports Fee INR ,Rec Sports Fee USD ,Records Initiation Fee INR ,Records Initiation Fee USD ,Recreation Center Expansion Fee INR ,Recreation Center Expansion Fee USD ,Recreation Center Fee INR ,Recreation Center Fee USD ,Recreation Fee INR ,Recreation Fee USD ,Recreation and Wellness Center Fee INR ,Recreation and Wellness Center Fee USD ,Reg Fee INR ,Reg Fee USD ,Registration Fee INR ,Registration Fee USD ,Registration and services fee INR ,Registration and services fee USD ,Required Fees INR ,Required Fees USD ,SPARC Fee INR ,SPARC Fee USD ,Schol Link,Schol Text,Scholarship Offered,School Fee INR ,School Fee USD ,School Supplies & Misc INR ,School Supplies & Misc USD ,"Security, Safety, and Transportatio INR ","Security, Safety, and Transportatio USD ",Service Fee INR ,Service Fee USD ,Special Service Fee INR ,Special Service Fee USD ,Student Activity Fee INR ,Student Activity Fee USD ,Student Affairs Fee INR ,Student Affairs Fee USD ,Student Assessment Fee INR ,Student Assessment Fee USD ,Student Athletic Fee INR ,Student Athletic Fee USD ,Student Athletics Fee INR ,Student Athletics Fee USD ,Student Center Fee INR ,Student Center Fee USD ,Student Computing Fee INR ,Student Computing Fee USD ,Student Development Fee INR ,Student Development Fee USD ,Student Excellence Fee INR ,Student Excellence Fee USD ,Student Facility Fee INR ,Student Facility Fee USD ,Student Fees INR ,Student Fees USD ,Student Financial Aid fee INR ,Student Financial Aid fee USD ,Student Health Fee INR ,Student Health Fee USD ,Student Health Services INR ,Student Health Services USD ,Student Life Fee INR ,Student Life Fee USD ,Student Orientation fee INR ,Student Orientation fee USD ,Student Programs Fee INR ,Student Programs Fee USD ,Student Programs and Services Fee INR ,Student Programs and Services Fee USD ,Student Service Facility Fee INR ,Student Service Facility Fee USD ,Student Service Fee INR ,Student Service Fee USD ,Student Services Fee INR ,Student Services Fee USD ,Student Success Fee INR ,Student Success Fee USD ,Student Union Fee INR ,Student Union Fee USD ,Student Union fee INR ,Student Union fee USD ,Sustainability fee INR ,Sustainability fee USD ,Swinney Rec fee INR ,Swinney Rec fee USD ,TOEFL,TOEFL Recommendation,Tech Fee INR ,Tech Fee USD ,Technology Fee INR ,Technology Fee USD ,Technology Fees INR ,Technology Fees USD ,Technology Infrastructure Fee INR ,Technology Infrastructure Fee USD ,Technology fee INR ,Technology fee USD ,Telephone/Cell Phone INR ,Telephone/Cell Phone USD ,Textbooks INR ,Textbooks USD ,Thesis Processing Fee INR ,Thesis Processing Fee USD ,Total INR ,Total USD ,Transport/Miscellaneous INR ,Transport/Miscellaneous USD ,Transportation Fee INR ,Transportation Fee USD ,Transportation INR ,Transportation USD ,Tuition Deposit INR ,Tuition Deposit USD ,UPass Fee INR ,UPass Fee USD ,URL,University Center Fee INR ,University Center Fee USD ,University Charge INR ,University Charge USD ,University Facilities Fee INR ,University Facilities Fee USD ,University Services Fee INR ,University Services Fee USD ,University Student Union INR ,University Student Union USD ,University and Student Fees INR ,University and Student Fees USD ,University-Student Union INR ,University-Student Union USD ,Wellness Center Fee INR ,Wellness Center Fee USD ,Wellness Fee INR ,Wellness Fee USD ,Work experience
"13,115",Rs 12.9 Lakhs,"8,47,885",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"7,758",120,,,,,No specific cutoff mentioned,,,,,,,,,,,"1,22,706","1,898",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5 to 2 Years,,,,,,,,,,,,,,,,,,,"10,085",156,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,With 6.0 in each sub-section,,,,,,,,,,,"68,076","1,053",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,544","1,416",,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,369",346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 4,39,167","USD 6,793",,,,,"92,967","1,438",,,,,https://studyabroad.shiksha.com/usa/universities/california-state-university-long-beach/master-of-science-in-mechanical-engineering,,,,,,,,,"23,662",366,,,,,,,,,
"10,822",Rs 8.5 Lakhs,"6,99,642",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"3,233",50,,,,,,,,,"16,809",260,,,2.60 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,"34,911",540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,857",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,"9,698",150,,,,,,,,,,,,,,,,,,,,,http://www.tamuk.edu/grad/scholarship_opportunities/new_grad_schl.html,"['New Graduate Student Scholarship: offers merit scholarships every semester on a first come, first serve basis. Admitted students will be automatically considered.\n', 'Awards are given for Fall semester, Spring semester + in-state tuition, winter intersession, spring, spring intersession and summer']",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,163",250,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 1,48,566","USD 2,298",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/texas-a-m-university-kingsville/ms-in-mechanical-engineering,,,,,,,"58,896",911,,,,,,,,,,,
"23,536",Rs 27.9 Lakhs,"15,21,602",,,,,,,,,,,,,,,Yes,,,,,,,"5,948",92,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Industrial Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,No minimum score but applicants are encourage to achieve at least a 155 on the quantitative section of the GRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,546",225,,,,,"10,80,302","16,710",,,,,,,,,6.5,,,,,,,,,,,,"1,39,579","2,159",,,,,,,,,,,"16,163",250,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,"7,241",112,,,,,,,,,,,,,http://www.northeastern.edu/graduate/prospective-students/international-students/,['Northeastern University helps many students to find additional funding for  their international studies'],Yes,,,,,,,,,,,,,,,,,,,,,"9,051",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 12,72,829","USD 19,688",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/northeastern-university/master-of-science-in-industrial-engineering,,,,,,,,,,,,,,,,,,,
"25,184",Rs 20.8 Lakhs,"16,28,146",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"5,237",81,,,,,,,,,,,,,3.20 GPA,,,,,,,,,,,"77,580","1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,Accepted,"Verbal 150, Quantitative 155 and Analytic 3.5 or better",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,"86,890","1,344",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,81,292","4,351",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 4,50,998","USD 6,976",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-wisconsin-madison/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,No work experience mentioned
"20,113",Rs 23.2 Lakhs,"13,00,305",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,"78,227","1,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,"73,701","1,140",,,,,,,,,,,"87,924","1,360",,,MS in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,301,With minimum score of 151 in Quantitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,69,567","8,810",,,,,,,,,6,,,,,,,,,,,,"1,23,158","1,905",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,809",260,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 10,19,854","USD 15,775",,,,,"70,469","1,090",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-florida/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"44,800",Rs 43.0 Lakhs,"28,96,320",,,,,,,,,,,,,,,Yes,,,,,"16,163",250,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,"53,013",820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical and Aerospace Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,298,With 151 in Quantitative; and 3.0 in Analytical Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,49,035","11,586",,,,,,,,,6.5,With 6.5 in each sub-section,,,,,,,,,,,"93,161","1,441",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,163",250,,,,,,,,,,,,,,,,,63,53 in each sub-section,,,,,,,,,,,,,,,,,"2,00,415","3,100",Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,858",864,,,,,,,,,,,,,90,With 20 in each sub-section,,,,,,,,,,,,,,,,,"Rs. 14,06,525","USD 21,756",,,,,"2,05,264","3,175",,,"17,456",270,https://studyabroad.shiksha.com/usa/universities/illinois-institute-of-technology/master-of-science-in-mechanical-and-aerospace-engineering,,,,,,,,,,,,,,,,,,,5years
"22,610",Rs 26.7 Lakhs,"14,61,737",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"5,495",85,,,,,,,,,,,3.00 GPA,,,"55,211",854,,,,,,,,,,,,,,,,,"64,650","1,000",,,,,,,,,,,,,"1,940",30,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,301,"Verbal: 146
Quantitative: 155
Analytical writing: 3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,03,831","9,340",,,,,,,,,6.5,Min 6.5 in each section,,,,,,,,,,,"71,826","1,111",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,41,791","3,740",,,Public,,,,,,,,,,,,,,,,,,,,,,,"1,58,716","2,455",,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Min score of 18 in each section,,,,,,,,,,,,,,,,,"Rs. 12,03,460","USD 18,615",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/north-carolina-state-university/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"11,220",Rs 9.3 Lakhs,"7,25,373",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,2 Years,"1,293",20,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,"1,293",20,,,,,,,,,"6,465",100,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,"92,450","1,430",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,"18,878",292,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,940",30,,,,,,,,,,,"69,434","1,074",,,,,,,,,,,80,"19-Writing, 26-Speaking , 17-Listening, 18-Reading",,,,,,,,,,,,,,,,,"Rs. 2,03,066","USD 3,141",,,"11,314",175,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-california-merced/mtech-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"16,834",Rs 18.1 Lakhs,"10,88,318",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Industrial Engineering (MSIE),,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,90,125","9,128","3,233",50,,,,,,,6.5,,,,,,,,,,,,"67,753","1,048",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,"13,059",202,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,972",510,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 7,24,597","USD 11,208",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-houston/master-of-science-in-industrial-engineering-msie,"17,456",270,,,,,,,,,,,,,,,,,
"13,240",Rs 21.7 Lakhs,"8,55,966",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"1,940",30,,,,,,,,,,,3.00 GPA,,,,,,,"77,580","1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Industrial Engineering (MSIE),,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,"1,16,111","1,796",309,GRE Verbal 153 and Quantitative 156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,14,383","11,050",,,,,,,,,6.5,,,,,,,,,,,,"1,30,334","2,016",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,"4,784",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,"2,65,065","4,100",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 13,10,197","USD 20,266",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-south-florida/ms-in-industrial-engineering-msie,,,,,,,,,,,,,,,,,,,
"29,682",Rs 31.3 Lakhs,"19,18,941",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80 GPA,,,,,"1,09,905","1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Industrial Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,77,093","12,020",,,,,,,,,6.5,No sub-score lower than 6.0,,,,,,,,,,,"86,502","1,338",,,,,,,,,,,"8,081",125,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,55,160","2,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 12,14,321","USD 18,783",,,,,"77,580","1,200",,,,,https://studyabroad.shiksha.com/usa/universities/new-jersey-institute-of-technology/ms-in-industrial-engineering,,,,,,,,,,,,,,,,,,,
"45,722",Rs 42.9 Lakhs,"29,55,927",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,"1,61,625","2,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Material Science Engineering,,,,,,,1 Years,,,"1,293",20,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,88,084","12,190",,,,,,,,,7,,,,,,,,,,,,"1,70,741","2,641",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,"2,12,440","3,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.seas.virginia.edu/advising/financialaid.php,['Financial Aids are provided by the college'],Yes,,,,,,,,,,,"3,233",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,"Rs. 13,37,415","USD 20,687",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-virginia/master-of-science-in-material-science-engineering,,,,,,,,,,,,,,,,,,,
